area,amount_spent,tenure,qualification,cluster,cluster_label
West London,66233.47024910498,13.716097543265864,High School,2,High Income
East London,3682.5032578448654,9.513624258378453,Masters,0,Low Income
North London,22975.244031361995,10.270103710306735,High School,0,Low Income
North London,23876.404862219068,4.880872890791531,High School,1,Middle Income
West London,67517.38161627411,12.909249971232034,High School,2,High Income
North London,2951.343237682051,7.816107700314884,High School,0,Low Income
Central London,11306.74961647281,19.917258356812635,High School,0,Low Income
South London,80191.69245194575,10.12348678997587,Bachelor,2,High Income
West London,18675.921543379027,10.23182651760265,High School,0,Low Income
East London,65621.8646773356,11.751183960802766,PhD,2,High Income
South London,24580.095323625927,18.418364059256188,High School,0,Low Income
North London,10844.697883175171,16.215543897335255,Bachelor,0,Low Income
North London,25074.046908945955,9.571471326158987,PhD,0,Low Income
East London,72504.42625371026,14.655286053483124,PhD,2,High Income
Central London,85713.9503425223,12.138474476834471,Bachelor,2,High Income
East London,83191.76659213217,10.35497392532373,PhD,2,High Income
West London,40321.16943222703,4.6539996829026595,Bachelor,1,Middle Income
East London,67140.42852049397,9.814789005642927,Masters,2,High Income
North London,21293.445246166277,5.670553153428918,Masters,1,Middle Income
Central London,30021.625295840313,18.382000847181438,High School,0,Low Income
Central London,89737.24603359085,7.372729456430592,High School,2,High Income
East London,2287.1904275628676,19.093016276134072,High School,0,Low Income
West London,9465.34455459234,11.128050511799513,High School,0,Low Income
North London,21580.739259456706,12.999343194847047,Bachelor,0,Low Income
South London,3626.6881835081517,11.315868445297227,Masters,0,Low Income
Central London,18962.108073889933,3.4582317223673167,Bachelor,1,Middle Income
East London,58721.11453599953,8.140603161150878,PhD,1,Middle Income
West London,42721.0305086573,2.883776133274855,PhD,1,Middle Income
West London,89374.49939662051,12.836126839484253,PhD,2,High Income
North London,81926.91261210565,9.49060970880834,PhD,2,High Income
Central London,34839.91781808972,15.7817144598478,PhD,0,Low Income
North London,26682.919909697957,5.188939138988027,Masters,1,Middle Income
South London,38589.54840855942,4.126755110157363,Bachelor,1,Middle Income
South London,59439.199308965966,8.720312388311587,PhD,1,Middle Income
South London,27538.30044146475,18.605122281149242,High School,0,Low Income
West London,62790.74187706427,14.498014485235823,Masters,2,High Income
Central London,41531.7535669328,8.959548871065454,High School,1,Middle Income
North London,55652.67090434604,10.8281712253319,Masters,2,High Income
North London,44176.526384396355,2.6000472123648684,Masters,1,Middle Income
South London,30152.11019464985,19.70694203114615,High School,0,Low Income
Central London,94896.87738925351,13.66173878920346,High School,2,High Income
Central London,76596.97362181632,6.422677300805027,PhD,1,Middle Income
East London,14871.204400878802,12.130359490089642,High School,0,Low Income
Central London,86978.32961389337,3.0801649553108854,Bachelor,1,Middle Income
Central London,49255.68862670185,19.350896707344088,Masters,0,Low Income
North London,89560.67046251505,4.320914769783952,Masters,1,Middle Income
Central London,80185.6703387842,13.312576043049068,PhD,2,High Income
Central London,43096.13694245411,5.663634788239678,Masters,1,Middle Income
North London,3224.4615236916225,14.633666270322179,High School,0,Low Income
Central London,27599.05857910966,15.75960597756534,Masters,0,Low Income
North London,54621.78725142583,13.79497484931722,Masters,2,High Income
East London,63714.34376278858,12.675489744848658,High School,2,High Income
West London,26530.880857887027,17.95691278508822,High School,0,Low Income
North London,14796.25133320959,2.493907508805403,Masters,1,Middle Income
North London,83658.09344313061,7.287380549823709,Bachelor,2,High Income
Central London,98455.81588965165,5.717462112986073,High School,2,High Income
North London,53043.32804796589,19.77226527924301,Bachelor,0,Low Income
South London,17996.249298982046,8.398405813670596,Bachelor,0,Low Income
South London,27958.425325417527,14.919641285567575,PhD,0,Low Income
East London,2820.6769781992066,14.009778113739086,Bachelor,0,Low Income
North London,91515.5818494894,5.029543512070177,PhD,2,High Income
Central London,12657.357206123972,5.5409559240194755,Bachelor,1,Middle Income
Central London,58075.1310759111,6.344406707507648,PhD,1,Middle Income
West London,28131.466848033393,8.811418286928205,High School,1,Middle Income
East London,55863.62224906355,5.4521762473600095,Masters,1,Middle Income
Central London,65490.61844683456,1.3733781721901082,Masters,1,Middle Income
West London,83144.43856701296,17.708468079336715,PhD,2,High Income
Central London,21435.705904299717,19.346586796236796,High School,0,Low Income
West London,2088.587037189567,7.489837353599791,PhD,0,Low Income
South London,14551.67737681192,7.431630709083985,PhD,1,Middle Income
South London,90101.8455429624,1.1347444427130489,High School,1,Middle Income
Central London,87515.11767868901,13.924763078277106,Bachelor,2,High Income
East London,60143.89711486052,16.683358019223945,Bachelor,2,High Income
North London,60451.169182931684,3.78555770684006,High School,1,Middle Income
East London,66838.63078007929,4.0336606379758635,PhD,1,Middle Income
East London,18361.756583721508,16.011581749457317,Masters,0,Low Income
North London,91526.78264657102,12.709524218728749,PhD,2,High Income
South London,42458.28196431524,1.8523505949266232,Bachelor,1,Middle Income
South London,38930.71429670025,12.828392818783351,High School,0,Low Income
North London,52372.85282300092,6.869436734031555,High School,1,Middle Income
West London,5649.630710730449,8.005777953946073,High School,0,Low Income
East London,17462.053506851862,15.624896947640723,Bachelor,0,Low Income
Central London,74065.32802621067,16.407768660779602,PhD,2,High Income
South London,9197.06812458752,8.606775909956783,High School,0,Low Income
Central London,60712.05883717243,18.99590578412074,Masters,2,High Income
North London,25289.561858450776,8.722791641089373,High School,0,Low Income
Central London,39540.26579015568,15.66488466937209,PhD,0,Low Income
Central London,29580.679940299287,10.193668026720921,Bachelor,0,Low Income
East London,36211.59893002996,18.0531142039196,Masters,0,Low Income
North London,72185.5446132403,18.247463629353394,Masters,2,High Income
Central London,30415.049846694328,2.660919349550593,High School,1,Middle Income
South London,57074.05938939282,18.793373294894288,PhD,2,High Income
North London,48128.98981771087,16.6851619888879,High School,0,Low Income
South London,66703.44537090216,16.03490357194067,Masters,2,High Income
West London,93746.14419315103,4.817315454024927,High School,2,High Income
Central London,73524.63762381478,16.297264966338634,PhD,2,High Income
North London,22279.09748048492,17.1525219590157,Bachelor,0,Low Income
South London,4087.1303710671828,6.493856354628868,Masters,1,Middle Income
Central London,26964.140385682684,19.09294148888415,PhD,0,Low Income
East London,59912.71513932523,1.9473427815841209,High School,1,Middle Income
South London,6091.1555349407845,3.8482758116956535,Masters,1,Middle Income
South London,50140.258472922396,11.214041622978772,High School,2,High Income
West London,60087.44204277203,11.940056951323884,High School,2,High Income
East London,34090.14519087912,13.257851582717164,Bachelor,0,Low Income
West London,77320.30817083638,1.3224134569938628,High School,1,Middle Income
East London,11553.22706024341,19.246968717820476,High School,0,Low Income
South London,8438.640391845067,1.8471737619487358,PhD,1,Middle Income
West London,73090.68686415673,3.7181771017446454,High School,1,Middle Income
Central London,50053.640304413646,1.2662758329950825,Bachelor,1,Middle Income
East London,69151.83724634587,11.7703102325878,High School,2,High Income
South London,44047.90652177088,18.71307079449847,High School,0,Low Income
North London,25393.801290671574,13.65299615552882,High School,0,Low Income
East London,82091.12944974577,16.630491901128117,Masters,2,High Income
East London,80142.17201792894,1.2523428657130216,Bachelor,1,Middle Income
Central London,69774.95061458825,11.298290671114795,Masters,2,High Income
East London,27942.368585766308,9.731696572604916,Bachelor,0,Low Income
East London,59432.83602003962,10.480390940195068,Bachelor,2,High Income
Central London,36736.415797062655,2.372050521368571,PhD,1,Middle Income
Central London,10066.62525933678,14.004271860316841,Masters,0,Low Income
West London,91814.04397076204,10.561187882314055,Bachelor,2,High Income
South London,14545.044460977178,15.537828147364015,Bachelor,0,Low Income
South London,95073.49802825945,10.220522047172592,PhD,2,High Income
West London,45154.57152283762,3.8382510883022096,Masters,1,Middle Income
South London,19328.159955023344,13.316882127478618,High School,0,Low Income
East London,54648.19379045746,4.275340879998158,PhD,1,Middle Income
West London,87421.63775176441,17.575496703741482,Bachelor,2,High Income
West London,73490.26375454655,12.649208542315588,Masters,2,High Income
South London,80849.55363828353,3.9868737875821307,Bachelor,1,Middle Income
North London,66219.55330436102,19.28442309214293,PhD,2,High Income
South London,69535.3798872674,10.848943803371093,PhD,2,High Income
North London,85070.36950496661,2.385070585561445,Masters,1,Middle Income
West London,25717.13287705941,12.909825183886277,PhD,0,Low Income
North London,49453.07140067091,5.8107792332433945,PhD,1,Middle Income
East London,22899.73474014062,16.270175585668746,High School,0,Low Income
Central London,98779.13279166806,16.53861939775762,Bachelor,2,High Income
North London,94461.8746289747,19.599999761238575,High School,2,High Income
Central London,4903.254325482084,10.53552108946557,High School,0,Low Income
East London,70851.94207905316,9.644180714827005,Masters,2,High Income
Central London,92599.58342415091,15.316036503483131,PhD,2,High Income
East London,18876.95916760602,3.5169424704966046,Bachelor,1,Middle Income
Central London,57226.577824710315,11.39139476206936,Bachelor,2,High Income
Central London,91633.34146121614,11.378704402486168,Bachelor,2,High Income
South London,4360.651879994086,2.6999893333973572,PhD,1,Middle Income
North London,70044.60645743716,8.941697624631358,Bachelor,2,High Income
Central London,30437.551729882525,17.212411172776836,Bachelor,0,Low Income
West London,92515.22334227651,17.266918817898546,PhD,2,High Income
South London,97134.76627137141,2.885515633473939,Masters,1,Middle Income
North London,94482.38242222996,2.723696772208786,Bachelor,1,Middle Income
South London,47947.20744908891,5.991214063036771,PhD,1,Middle Income
North London,86342.22244794203,17.620555188525877,High School,2,High Income
East London,84610.39045497197,3.44914911639648,PhD,1,Middle Income
Central London,32590.946851082306,14.679939249921478,High School,0,Low Income
West London,83062.63194091705,2.9221467726489614,PhD,1,Middle Income
South London,4663.7558368337695,12.839619221208682,Bachelor,0,Low Income
South London,60030.71796972325,7.765278683263752,Masters,1,Middle Income
South London,23770.874891482603,15.989365296351473,Masters,0,Low Income
South London,12936.121691950602,5.440118527681909,Bachelor,1,Middle Income
Central London,8618.366961291707,13.144834758409237,High School,0,Low Income
North London,69932.58881193584,5.477968156941814,PhD,1,Middle Income
Central London,34647.62141303855,14.559545379130922,Bachelor,0,Low Income
East London,72751.91038134738,17.599882656654227,PhD,2,High Income
Central London,7470.277739095294,3.409234183408441,Bachelor,1,Middle Income
Central London,32213.743445230422,17.465318083314568,Bachelor,0,Low Income
East London,54409.637945158385,12.27792983387166,PhD,2,High Income
Central London,79281.59331905739,3.4150993264734555,Masters,1,Middle Income
North London,32556.497790274923,9.123295251834529,Masters,1,Middle Income
West London,62963.2462672639,4.056345576216859,High School,1,Middle Income
East London,88711.79707538252,14.30660988846482,PhD,2,High Income
South London,61970.45563004815,15.418494553941043,High School,2,High Income
North London,24062.988000609745,3.0101338851831803,Bachelor,1,Middle Income
West London,3415.677374097264,10.616657201198242,High School,0,Low Income
North London,87139.78851619206,16.477876064492428,Bachelor,2,High Income
North London,3105.6716741883265,18.787097789468934,PhD,0,Low Income
South London,87595.46559573575,10.75683946809363,PhD,2,High Income
West London,53364.77626869399,19.055305248616733,PhD,0,Low Income
North London,93967.70215277672,11.178090438664567,PhD,2,High Income
South London,80079.54034159287,8.48961939739825,High School,2,High Income
East London,99795.47694280041,17.115859442505013,Bachelor,2,High Income
South London,35720.469729719305,10.366671498703692,Masters,0,Low Income
Central London,76951.64060418156,9.966147700725937,PhD,2,High Income
South London,40791.16044731497,10.315937298786737,PhD,0,Low Income
South London,48507.68641008698,17.08891503552516,Bachelor,0,Low Income
South London,63123.04085861864,16.806889292072988,Masters,2,High Income
North London,87494.03430444753,8.666879856364012,PhD,2,High Income
West London,98424.26345073021,7.332697337539975,Masters,2,High Income
South London,77059.0679725873,10.346632456743457,PhD,2,High Income
South London,42358.91143456604,11.88267768500507,High School,0,Low Income
Central London,42714.34322542995,5.528407001931942,High School,1,Middle Income
Central London,74020.64785730025,16.085146609596222,Masters,2,High Income
East London,24638.93743106193,10.243172548916036,Bachelor,0,Low Income
East London,11936.937200008071,7.346865419979232,Bachelor,1,Middle Income
Central London,36107.59360643688,3.0295988663158218,High School,1,Middle Income
West London,29436.66017375409,5.538058047668532,Bachelor,1,Middle Income
East London,30334.503925143017,19.03634226336369,Bachelor,0,Low Income
West London,24127.167353941084,6.796894049571005,Bachelor,1,Middle Income
Central London,5167.225773999827,4.208326497973671,Masters,1,Middle Income
East London,2769.519538607967,9.752783041444872,Masters,0,Low Income
South London,98784.51658386712,6.834667123844725,Bachelor,2,High Income
Central London,43349.54023985037,1.668025755152689,High School,1,Middle Income
East London,39048.33806880849,7.139759128308928,Bachelor,1,Middle Income
West London,68285.08098661392,11.338063854849903,PhD,2,High Income
West London,22607.134898641354,11.482535068379372,High School,0,Low Income
East London,95046.1572110723,7.774619502360885,Masters,2,High Income
West London,78848.15642713965,9.498752368799412,PhD,2,High Income
East London,9851.689228913692,19.344840446460562,Bachelor,0,Low Income
East London,42340.49680270791,8.169621067375921,Bachelor,1,Middle Income
West London,88032.7124486543,5.906309451939677,High School,2,High Income
North London,94528.47020684961,5.6258738372684425,High School,2,High Income
South London,47272.749613737105,9.69752764137855,Bachelor,1,Middle Income
Central London,61727.727531860066,15.430882825621937,Bachelor,2,High Income
South London,17536.360663115447,4.913775499580991,High School,1,Middle Income
Central London,99125.69398756068,14.476626415674593,PhD,2,High Income
Central London,23935.498436960897,1.4018466436389094,Masters,1,Middle Income
South London,94330.44563937745,8.959726581694975,High School,2,High Income
East London,65315.01825024448,15.74143623885295,PhD,2,High Income
West London,61165.942693007055,7.435926159714197,Bachelor,1,Middle Income
North London,51756.16259063435,11.71100492746259,Masters,2,High Income
North London,23836.31136005811,4.894605423692305,PhD,1,Middle Income
North London,18476.27516854532,15.097912431397274,Masters,0,Low Income
South London,22828.13469794736,1.9933029621064327,Masters,1,Middle Income
South London,19457.3879522812,17.198310252634506,Masters,0,Low Income
East London,78178.86288310858,4.765731342011694,PhD,1,Middle Income
North London,35662.40065750628,17.613562602458284,PhD,0,Low Income
East London,6726.42497977624,7.698055584709829,Bachelor,0,Low Income
North London,96941.16038394033,14.730987915015245,Masters,2,High Income
South London,88494.80261137914,7.065280657937581,High School,2,High Income
West London,92847.47603632609,18.212321753458305,High School,2,High Income
West London,99495.87444199709,3.4061053848491127,High School,1,Middle Income
West London,18215.629672729243,4.391875996179375,PhD,1,Middle Income
West London,40227.959871363215,10.367572378017243,Bachelor,0,Low Income
Central London,76065.60909470504,2.556830341724776,PhD,1,Middle Income
North London,69906.04118732543,4.723623509333477,Masters,1,Middle Income
West London,16235.69472764565,18.93156126202827,High School,0,Low Income
Central London,81767.47937407116,19.553303561809855,PhD,2,High Income
Central London,23219.616611829406,8.148927257278018,High School,1,Middle Income
Central London,23157.943867439684,18.542434399264778,PhD,0,Low Income
East London,54160.46786644794,11.351668837795202,High School,2,High Income
East London,59701.053549328615,6.125106851601574,Masters,1,Middle Income
Central London,58428.534575943304,14.345575700531374,High School,2,High Income
West London,10057.196902377733,13.519134324922288,Masters,0,Low Income
North London,87868.62540040766,19.793381063065933,Masters,2,High Income
South London,27294.4042162819,6.035898460776383,PhD,1,Middle Income
East London,13821.977206997613,13.769130550572973,PhD,0,Low Income
West London,88986.05990702874,1.988451345559491,PhD,1,Middle Income
West London,95609.49832474558,3.159274735237669,Masters,1,Middle Income
South London,86350.6341092796,1.0744491240707719,Bachelor,1,Middle Income
South London,81142.09139776292,19.98975294013379,Bachelor,2,High Income
West London,65868.95608326315,16.24320024580208,Masters,2,High Income
South London,55534.87969030479,15.947737279937275,Masters,2,High Income
West London,9611.689231229604,10.684795430475415,PhD,0,Low Income
South London,41436.868093999175,6.7012745752033585,PhD,1,Middle Income
South London,37896.16318421908,3.8740214047908426,PhD,1,Middle Income
West London,26715.624592272296,6.408820038082809,Bachelor,1,Middle Income
Central London,72618.59125516991,8.143453216653644,Bachelor,2,High Income
West London,50091.69777279831,15.369891842625588,Masters,0,Low Income
North London,9023.575374857144,11.253573989159896,Bachelor,0,Low Income
South London,22798.136993031323,2.472188904554171,PhD,1,Middle Income
East London,68642.6176023,1.3425511702193327,PhD,1,Middle Income
South London,8536.955089539719,2.9443114111471997,PhD,1,Middle Income
North London,85269.4844908281,8.799475560250208,PhD,2,High Income
East London,50019.50617438346,18.73066542393135,PhD,0,Low Income
East London,48578.071155338155,13.11064714297521,High School,0,Low Income
West London,59648.37068129224,16.234692097634785,Masters,2,High Income
Central London,82643.41562658976,9.861117295586423,Masters,2,High Income
West London,35433.11158231711,7.871655580705813,Bachelor,1,Middle Income
East London,68123.5991033473,3.059607081615832,PhD,1,Middle Income
East London,57007.464435583315,17.642727421537895,High School,2,High Income
Central London,27435.79874677271,15.880040551530154,PhD,0,Low Income
South London,87984.36864916063,4.1942438543567775,PhD,1,Middle Income
Central London,79945.17613908589,10.73295071364895,Bachelor,2,High Income
West London,66186.73163118411,10.260121350503653,High School,2,High Income
South London,85207.59118032995,12.876739501044044,High School,2,High Income
West London,86862.12589502044,18.977550985833965,Masters,2,High Income
Central London,71127.93469478845,12.015657393487112,PhD,2,High Income
South London,83864.31950800354,11.264128068793752,High School,2,High Income
Central London,70049.67470525908,1.956135725758615,Masters,1,Middle Income
North London,68333.93640426974,2.1952420443424545,High School,1,Middle Income
East London,62242.52644330324,4.5595890352089885,PhD,1,Middle Income
South London,75518.94731620648,1.6169446621432173,Masters,1,Middle Income
East London,16701.905424014294,15.123705015830236,High School,0,Low Income
North London,88206.20516069392,14.7432757758853,Bachelor,2,High Income
South London,87312.50924677796,3.585068454201216,High School,1,Middle Income
East London,3895.4810204213554,16.885499115110335,PhD,0,Low Income
East London,82755.8583059115,3.9409346620761276,Bachelor,1,Middle Income
South London,13758.116879871075,6.722336152949818,High School,1,Middle Income
East London,34176.76657165505,5.730561084065935,High School,1,Middle Income
East London,74607.31737286918,8.073834872887907,Masters,2,High Income
South London,16915.229708782514,5.838611551909276,PhD,1,Middle Income
East London,81978.73538778715,10.29006760233059,High School,2,High Income
East London,83381.28361781644,8.740749745739024,High School,2,High Income
West London,51239.30564232278,19.744820324807204,High School,0,Low Income
West London,1632.2012999665244,2.062600652436288,PhD,1,Middle Income
North London,29416.775184316364,3.701446151359681,Bachelor,1,Middle Income
West London,62075.76491919848,2.003691984263447,PhD,1,Middle Income
West London,98137.43162471493,12.89098270466514,Masters,2,High Income
North London,63549.53917465017,2.035676270860672,Masters,1,Middle Income
East London,26720.55452535182,16.892355010146343,PhD,0,Low Income
East London,63766.564606861524,10.726833982956627,High School,2,High Income
West London,54458.552591869695,11.01314486704914,High School,2,High Income
North London,78204.69411996321,11.67029564653169,Bachelor,2,High Income
East London,11591.083243868883,4.245460419818004,PhD,1,Middle Income
Central London,76341.76234770077,4.756115759175263,PhD,1,Middle Income
South London,54585.391288934916,7.057529134587089,High School,1,Middle Income
South London,96336.20838204047,12.276431900615178,Masters,2,High Income
South London,34845.344437829925,4.992237742864075,Masters,1,Middle Income
West London,63629.567420260864,3.2103028155319633,Bachelor,1,Middle Income
South London,93270.78244549173,19.432220841950212,Bachelor,2,High Income
South London,11148.463071077247,1.4176544813828353,Masters,1,Middle Income
Central London,93785.62023640866,16.25125070138441,PhD,2,High Income
East London,69100.68650778053,15.97266784192542,Bachelor,2,High Income
Central London,7715.868851412019,6.647068163056824,High School,1,Middle Income
West London,30795.39312773481,3.5769057041389547,PhD,1,Middle Income
South London,71109.03677588288,3.766944287403045,High School,1,Middle Income
East London,7667.709545408398,14.251200727506657,Bachelor,0,Low Income
South London,58634.87555745105,13.213325230637299,Masters,2,High Income
South London,35242.422638342716,15.872167810776348,Bachelor,0,Low Income
West London,62470.63625898024,18.81214227558299,Masters,2,High Income
South London,5528.4613474387725,14.146619902065249,PhD,0,Low Income
North London,87282.14380908525,3.9611791944774257,Bachelor,1,Middle Income
East London,97375.4079485623,5.625409718542803,Bachelor,2,High Income
East London,96918.90767328345,17.001680886589178,Bachelor,2,High Income
North London,75215.53134254954,4.976815440849963,PhD,1,Middle Income
West London,13878.537772932565,2.3779240221351468,High School,1,Middle Income
South London,76068.05639697323,14.362321026802759,High School,2,High Income
South London,3434.1047294213495,8.648000754312699,Masters,0,Low Income
East London,3190.231601370728,18.48076099837217,Bachelor,0,Low Income
West London,33037.41169580458,13.35484635077957,High School,0,Low Income
West London,49375.67585006191,2.7179605780415543,PhD,1,Middle Income
West London,77270.33436297152,19.009274777819556,Bachelor,2,High Income
South London,68646.24228404401,5.912588009164672,Masters,1,Middle Income
West London,45144.36793129808,7.407037317719429,High School,1,Middle Income
North London,28089.039961884922,8.642947859987299,PhD,1,Middle Income
Central London,99715.3255156134,1.9732616316819518,PhD,1,Middle Income
West London,43191.94892136132,10.433793022381492,Masters,0,Low Income
Central London,45687.31540863787,3.3430513304305527,High School,1,Middle Income
South London,17198.758297975248,8.618436207078684,Bachelor,0,Low Income
West London,79686.14532624302,7.663485971849601,PhD,2,High Income
East London,69674.54035236737,15.683961585103564,Masters,2,High Income
South London,22856.191666087278,16.26023972102189,PhD,0,Low Income
North London,9155.723515968428,3.9148447653926723,PhD,1,Middle Income
North London,68369.4309053966,7.964472560205298,High School,1,Middle Income
Central London,65796.61021383239,8.093710059604803,High School,1,Middle Income
Central London,28052.693172822725,3.876798434785616,Bachelor,1,Middle Income
East London,95135.49266279062,16.170616595972618,PhD,2,High Income
East London,15954.731286309123,14.437338238373043,Masters,0,Low Income
North London,43801.14530321759,4.61725393964366,PhD,1,Middle Income
West London,94417.97609659229,7.967716263282182,Masters,2,High Income
North London,42553.004375686105,3.01029547227377,PhD,1,Middle Income
North London,64214.06881874447,12.935925344767835,Masters,2,High Income
East London,40361.84539831663,3.3060665664237736,PhD,1,Middle Income
Central London,28147.305032518332,19.73274920387344,PhD,0,Low Income
East London,98413.787148023,15.832959419069384,Bachelor,2,High Income
East London,41524.06662518926,8.414532442095906,High School,1,Middle Income
East London,89515.82116423431,11.992714713307734,High School,2,High Income
North London,23765.505983217532,18.315494508111765,Masters,0,Low Income
West London,22097.36569848325,11.527886327520696,PhD,0,Low Income
North London,4082.2742055666245,4.3154712415611485,PhD,1,Middle Income
South London,65515.01571221262,8.195363756042028,High School,1,Middle Income
East London,37484.10802865235,17.019752435565163,Masters,0,Low Income
East London,86571.46673412407,13.24004730380274,Bachelor,2,High Income
South London,47847.78076246416,13.363763302342205,Bachelor,0,Low Income
East London,96851.14936355746,17.469608228081295,Bachelor,2,High Income
East London,19367.026054608992,17.985488091787587,PhD,0,Low Income
East London,86993.69362760546,18.47605886380929,Masters,2,High Income
South London,77883.08842638243,2.802134671809966,High School,1,Middle Income
North London,77321.26261976115,11.338394037298917,PhD,2,High Income
East London,84633.53958357188,15.069680903148054,PhD,2,High Income
West London,76341.37510335688,15.381610057413262,Bachelor,2,High Income
South London,62995.81184151012,12.527607837430073,Masters,2,High Income
Central London,13993.24289055637,4.168959368489809,Masters,1,Middle Income
South London,4220.09176963394,16.150990524891622,Bachelor,0,Low Income
North London,92163.936933753,14.68211533678397,Bachelor,2,High Income
South London,62048.381137553064,2.6365796594316895,Bachelor,1,Middle Income
Central London,79857.19180664145,9.812386668813149,PhD,2,High Income
West London,48670.712799742454,4.305570590914268,PhD,1,Middle Income
Central London,12613.510707277053,7.412063868546466,PhD,1,Middle Income
South London,13393.393428052494,1.3435407519080234,High School,1,Middle Income
Central London,68870.96343566816,8.606267499804407,High School,2,High Income
South London,43600.28359504681,11.447661501967998,Masters,0,Low Income
West London,20851.947943333336,12.77206926371465,Bachelor,0,Low Income
West London,49667.86012740225,13.606316557445492,Bachelor,0,Low Income
North London,7356.684770438274,16.88953494894674,PhD,0,Low Income
West London,58615.16878952548,5.0937952382388705,High School,1,Middle Income
East London,27630.34703907467,3.289154626330891,Bachelor,1,Middle Income
Central London,79958.35096308163,17.17920626606059,Masters,2,High Income
Central London,31725.8339334338,3.975643482960348,Bachelor,1,Middle Income
South London,46066.79475909832,19.520441545387712,PhD,0,Low Income
West London,2150.4334509019627,17.008226358574102,PhD,0,Low Income
North London,8172.241891661329,10.516655511902384,High School,0,Low Income
North London,39856.8620842618,19.64700707351848,Masters,0,Low Income
North London,48513.94463699523,2.85015785305208,Masters,1,Middle Income
East London,60402.03426381107,6.758249462326932,Bachelor,1,Middle Income
West London,29874.59529222102,13.126263885771618,Masters,0,Low Income
North London,69803.20672652771,7.650130500990397,Bachelor,1,Middle Income
East London,86152.11732173125,18.639078487635043,Bachelor,2,High Income
Central London,78205.24790044162,2.246895675378534,High School,1,Middle Income
South London,4922.263709487357,11.438824809158326,Masters,0,Low Income
West London,48570.18777852506,12.226459080507176,PhD,0,Low Income
West London,11388.087663399312,13.401834351767258,Bachelor,0,Low Income
Central London,24962.45657039022,5.857658243304474,Bachelor,1,Middle Income
West London,98679.5967334475,7.926762122877425,Bachelor,2,High Income
West London,15107.05874724981,17.029930063634573,Masters,0,Low Income
West London,50389.92719168425,4.703912610433036,Masters,1,Middle Income
West London,62197.41769749379,16.710489096293877,Masters,2,High Income
East London,70544.03208386629,11.690453035152105,Bachelor,2,High Income
East London,56405.219665204495,15.48156271268756,PhD,2,High Income
South London,1967.3138944991824,14.558539959005959,PhD,0,Low Income
West London,33319.6695161552,4.942718412312701,Masters,1,Middle Income
Central London,52253.45269508643,11.807441992243584,PhD,2,High Income
North London,9698.783415338503,17.486739903296755,Bachelor,0,Low Income
South London,35712.066189708894,9.210208499236657,Masters,1,Middle Income
North London,4287.10777034529,19.365224634243017,Masters,0,Low Income
North London,8779.271218347054,9.592086901932642,Bachelor,0,Low Income
West London,40295.40434395801,3.712927096689809,Masters,1,Middle Income
Central London,14138.859650262975,8.399258921475791,Bachelor,0,Low Income
North London,57186.54397789426,19.082345721420207,Masters,2,High Income
North London,69257.03194458931,7.074696137457231,PhD,1,Middle Income
South London,80258.08321179921,17.493865037474194,Masters,2,High Income
Central London,20814.8741802362,17.743762951955905,Masters,0,Low Income
Central London,17580.775643647907,7.6535439623072605,Masters,1,Middle Income
North London,11352.216193105625,2.58189550296201,High School,1,Middle Income
Central London,64006.59470482003,14.766600274017547,PhD,2,High Income
South London,70941.09692220321,6.918733681265735,Bachelor,1,Middle Income
South London,4127.028337738562,15.875548670893876,High School,0,Low Income
South London,93685.01237812529,9.410442116948229,PhD,2,High Income
West London,6145.157081495769,10.22006810450981,Masters,0,Low Income
North London,54588.33719480598,15.7802787282222,Masters,2,High Income
Central London,71196.99142564072,8.264903290170931,Bachelor,2,High Income
South London,87225.94325086247,9.419419561135376,Bachelor,2,High Income
North London,71694.60628111035,8.14761890662282,PhD,2,High Income
North London,80371.08022390939,7.979469790268319,PhD,2,High Income
West London,34605.5690617378,10.992984961127728,Bachelor,0,Low Income
Central London,81667.68626090471,16.367189445521863,PhD,2,High Income
Central London,8931.369792082838,7.873597926528752,Bachelor,0,Low Income
South London,89586.84894999223,10.960839690216996,Masters,2,High Income
South London,55211.645239219884,13.743819183409416,Bachelor,2,High Income
North London,81912.47922628687,6.119349479769445,High School,1,Middle Income
Central London,45779.51016731172,6.272933293145458,Bachelor,1,Middle Income
Central London,64714.19182445597,18.73484941344564,Bachelor,2,High Income
South London,53113.86343267521,14.747156893290684,High School,2,High Income
East London,73427.36265377786,11.966546848242869,High School,2,High Income
North London,9081.368221028368,13.306681033991628,High School,0,Low Income
Central London,6974.8563150658165,1.556689418964949,High School,1,Middle Income
West London,25463.2201670045,12.74395634567224,Bachelor,0,Low Income
West London,16794.923331205646,10.680668591259836,PhD,0,Low Income
East London,87306.57309262796,11.369243915809278,High School,2,High Income
South London,22702.184748446387,7.8290527097855245,Masters,1,Middle Income
South London,97610.660326094,2.5480040565458957,Bachelor,1,Middle Income
South London,34352.68338533958,4.673445438628992,PhD,1,Middle Income
West London,19029.673653181228,19.064149551040764,Masters,0,Low Income
South London,79180.15220710544,8.765291683147744,Bachelor,2,High Income
West London,66212.06977458674,9.86697996078642,Bachelor,2,High Income
East London,50321.37592886076,2.001486007215341,Masters,1,Middle Income
North London,55980.99154282549,1.713758361335631,High School,1,Middle Income
Central London,72200.97604895412,14.626447493888396,High School,2,High Income
East London,23617.019391798574,11.223798618301114,Masters,0,Low Income
